name,cond_bed,cond_bath,cond_rent,cond_amen,addr_pin,addr_longi,addr_lati
West Quad_4b2.5b,4,2.5,Call for Rent,"Heated Pool, Jumbo Tron, Mounted 50"" Flat Screen TVs, Community Wi-Fi Available, Pool/Clubhouse Wi-Fi, Controlled Access, On-Site Maintenance, On-Site Property Manager, Security System, Spanish-Speaking, Courtesy Patrol, Video Patrol, Available 24/7, Furnished Apartments, ATM Banking, On-Site Shopping, Curbside Trash Pickup, Recycling Program, Renters Insurance Program, Online Services, Social Events, Secured Parking Area, Elevator, Business Center, Lounge, Flex Space, Trash Chutes, Café, Meeting Center, Tanning Salon, Yard with Fence, Cabana, Courtyard, BBQ Grill, Picnic Area, Fitness Center, Cardio Machines, Weightlifting Equipment, Sauna, Swimming Pool, Bicycle Storage, Volleyball Court, Activity Center, Gaming Areas, Theater/Media Center, High Speed Internet, Wi-Fi, Washer/Dryer, A/C, Heating, Smoke Free, Wired for Cable, Satellite TV, Trash Compactor, Bathtub/Shower, Sprinkler System, Wheelchair Accessible, Dishwasher, Garbage Disposal, Ice Machine, Granite Counters, Stainless Steel Appliances, Pantry, Kitchen with Island, Dine-In Kitchen, Kitchen, Microwave, Oven, Stove, Refrigerator, Freezer, Hot Water Dispenser, Wood Flooring, Carpeting, Vinyl Flooring, Family Room, Room with Views, Linen Closet, Furnished, Energy-Efficient Windows, Window Coverings, Accent Walls, Wet Bar, Balcony, Patio, Porch, Yard, Lawn, BBQ Area, Outdoor Grill","29 E Green St, Champaign, IL 61820",40.10924,-88.24138
,,,,,,,
Midtown Lofts_4b3b,4,3,599,"Grand Balconies, Furnished Apartments, Elevator, Cabana, Spa, High Speed Internet, Washer/Dryer, Washer/Dryer Hookup, A/C, Heating, Smoke Free, Bathtub/Shower, Wheelchair Accessible, Dishwasher, Dine-In Kitchen, Kitchen, Microwave, Oven, Refrigerator, Freezer, Carpeting, Balcony","512 S Third St, Champaign, IL 61820",40.11221,-88.23508
,,,,,,,
Midtown Plaza - BRAND NEW_2b2b,2,2,1950,"9-10 Foot Ceilings, Quartz Countertops, Controlled Access, Video Patrol, On-Site Shopping, Elevator, Trash Chutes, Rooftop Access, High Speed Internet, Washer/Dryer, A/C, Heating, Smoke Free, Wired for Cable, Bathtub/Shower, Sprinkler System, Wheelchair Accessible, Dishwasher, Garbage Disposal, Stainless Steel Appliances, Kitchen with Island, Dine-In Kitchen, Kitchen, Microwave, Oven, Stove, Refrigerator, Freezer, Wood Flooring, Carpeting, Family Room, Room with Views, Furnished, Energy-Efficient Windows, Balcony, BBQ Area","310 S 1st St, Champaign, IL 61820",40.11415,-88.23866
,,,,,,,
South West Apartments - ONE MONTH FREE RENT_2b1b,2,1,650,"Wood Deck, Self-Service Laundry, Available 24/7, Complimentary Breakfast, High Speed Internet, Washer/Dryer Hookup, A/C, Smoke Free, Fireplace, Dishwasher, Oven, Stove, Refrigerator, Balcony, Patio","1902 Karen Ct, Champaign, IL 61822",40.08343,-88.27926
,,,,,,,
Windcrest Apartments_2b1b,2,1,525,"24 hour emergency maintenance, Rental requirements: 3x -monthly rent, Self-Service Laundry, On-Site Maintenance, On-Site Property Manager, Recycling Program, A/C, Heating, Wired for Cable, Bathtub/Shower, Kitchen with Island, Kitchen, Oven, Stove, Refrigerator, Freezer, Carpeting, Bay Window, Walk-In Closets, Loft-Style Apartment, Window Coverings, Balcony, Deck, BBQ Area","404 Edgebrook Dr, Champaign, IL 61820",40.13199,-88.24905
,,,,,,,
212 East_4b2b,4,2,850,"50” TVs in every unit, Epic Outdoor Courtyard, Full-size, in-unit washers + dryers, Fully Furnished units, Gigabit internet, Open community relaxation lounge, Shared and private study rooms/lounges, State of the art workout facility, Business Center, Clubhouse, Lounge, Courtyard, Picnic Area, Fitness Center, Washer/Dryer, A/C, Dishwasher, Garbage Disposal, Stainless Steel Appliances, Microwave, Oven, Stove, Wood Flooring","512 E Green St, Champaign, IL 61820",40.11056,-88.23563
,,,,,,,
Fields South_2b1b,2,1,1500,"Brand New In August 2018, Brand New In August 2018!, Fitness Center, Swimming Pool, Volleyball Court, High Speed Internet, Wi-Fi, Washer/Dryer, A/C, Heating, Ceiling Fans, Smoke Free, Wired for Cable, Bathtub/Shower, Dishwasher, Garbage Disposal, Ice Machine, Granite Counters, Stainless Steel Appliances, Kitchen with Island, Dine-In Kitchen, Kitchen, Microwave, Oven, Stove, Refrigerator, Freezer, Wood Flooring, Carpeting, Walk-In Closets, Balcony","3301 Fields South Dr, Champaign, IL 61822",40.07203,-88.30995
,,,,,,,
WatersEdge Apartments_3b2b,3,2,1140,"Clubroom w/Kitchen, Fireplace & Entertainment Center, Dishwasher, Disposal & W/D, Free Wi-Fi Access, Large Windows & Private Entryways, Washer/Dryer Rentals Available, Package Service, Self-Service Laundry, On-Site Property Manager, Available 24/7, Furnished Apartments, Recycling Program, Laundry Service, Social Events, Business Center, Clubhouse, Complimentary Breakfast, Extra Storage, Sundeck, BBQ Grill, Picnic Area, Waterfront, Access to Lake, Fitness Center, Sauna, Swimming Pool, Theater/Media Center, High Speed Internet, Wi-Fi, Washer/Dryer, Washer/Dryer Hookup, A/C, Heating, Smoke Free, Wired for Cable, Satellite TV, Storage Units, Bathtub/Shower, Fireplace, Wheelchair Accessible, Dishwasher, Garbage Disposal, Ice Machine, Kitchen, Oven, Stove, Refrigerator, Ceramic Tile Flooring, Decorative Crown Molding, Vaulted Ceiling, Room with Views, Walk-In Closets, Balcony, Patio","936 Waterview Way, Champaign, IL 61822",40.1507,-88.25898
,,,,,,,
Furnished Studio – Champaign - Urbana_1b1b,1,1,1049,"Breakfast/Coffee Concierge, Clean, modern lighting, Dining and cooking utensils provided, Updated bathrooms, Upgraded bedding with extra pillows, Community Wi-Fi Available, Self-Service Laundry, Furnished Apartments, A/C, Kitchen","610 W Marketview Dr, Champaign, IL 61820",40.13797,-88.25353
,,,,,,,
Colonial Village_3b1.5b,3,1.5,905,"Front Door Trash Pickup, Recycling Program, High Speed Internet, Washer/Dryer, Washer/Dryer Hookup, A/C, Heating, Ceiling Fans, Smoke Free, Kitchen, Oven, Stove, Refrigerator, Wood Flooring, Walk-In Closets, Patio, Deck","1003-1011 S Mattis Ave, Champaign, IL 61821",40.1053,-88.2771
,,,,,,,
Westwood Village_1b1b,1,1,685,"Washer/Dryer, A/C, Heating, Fireplace, Kitchen, Oven, Stove","3119-3303 W Kirby Ave, Champaign, IL 61822",40.09826,-88.29782
,,,,,,,
Continental Plaza_3b1.5b,3,1.5,735,"Self-Service Laundry, Recycling Program, High Speed Internet, A/C, Heating, Ceiling Fans, Smoke Free, Garbage Disposal, Kitchen, Oven, Stove, Refrigerator, Walk-In Closets, Balcony, Patio","801-911 S Mattis Ave, Champaign, IL 61821",40.10732,-88.27739
,,,,,,,
Prestwick Point_2b2b,2,2,925,"On Bus Route, Controlled Access, Washer/Dryer, Washer/Dryer Hookup, A/C, Heating, Dishwasher, Garbage Disposal, Kitchen, Microwave, Oven, Stove, Refrigerator, Balcony, Patio, Lawn","706 Inverness Rd, Champaign, IL 61822",40.10699,-88.31255
,,,,,,,
205 E Healey St_1b1b,1,1,630,"Self-Service Laundry, Controlled Access, Furnished Apartments, A/C, Wired for Cable, Oven, Stove, Refrigerator, Carpeting, Vinyl Flooring, Furnished","205 E Healey St, Champaign, IL 61820",40.11113,-88.23631
,,,,,,,
706 S Locust St_2b1b,2,1,740,"Self-Service Laundry, Washer/Dryer, Garbage Disposal, Stove, Refrigerator, Wood Flooring","706 S Locust St, Champaign, IL 61820",40.10961,-88.23983
,,,,,,,
Crowwood Point Apartments_2b2b,2,2,895,"Vaulted Ceiling, Walk-in Closet, Curbside Trash Pickup, Extra Storage, High Speed Internet, Washer/Dryer, Washer/Dryer Hookup, A/C, Heating, Smoke Free, Wired for Cable, Storage Units, Fireplace, Wheelchair Accessible, Dishwasher, Garbage Disposal, Ice Machine, Kitchen, Microwave, Oven, Refrigerator, Freezer, Wood Flooring, Carpeting, Ceramic Tile Flooring, Walk-In Closets, Linen Closet, Balcony","3901 Crowwood Dr, Champaign, IL 61822",40.10788,-88.31065
,,,,,,,
Next Chapter -507 Second_4b4b,4,4,735,"10' x 18' Terrace on every unit, 42"" Television in every unit, 9' Ceilings, All maple cabinets, Available Private Baths, Double vanities in select units, Full size beds, Metered parking in from for your guests, Property faces Scott Park, Smooth cooktop, Two blocks from grocery store, Access Control, Access Controlled, Access Controlled Entry, Elevator, Fitness Center, Garage Parking, Giga-bit Internet, Utilities Included, Controlled Access, Furnished Apartments, Elevator, Fitness Center, High Speed Internet, Wi-Fi, Washer/Dryer, A/C, Heating, Ceiling Fans, Smoke Free, Wired for Cable, Double Vanities, Dishwasher, Garbage Disposal, Ice Machine, Pantry, Kitchen, Microwave, Oven, Stove, Refrigerator, Freezer, Carpeting, Vinyl Flooring, Family Room, Room with Views, Energy-Efficient Windows","507 S 2nd St, Champaign, IL 61820",40.11181,-88.2374
,,,,,,,
Next Chapter -75 Armory_4b2b,4,2,720,"42"" TV In All Units, Bike Racks, Double Vanity In Select Units, Efficient Appliances, Full Size Beds, Public Transportation, Walking Distance To Main Quad, Washer/Dryer In Unit, Access Controlled Entry, Cable/Internet Included, Garage Parking, Utilities Included, Controlled Access, Furnished Apartments, Recycling Program, Courtyard, BBQ Grill, Picnic Area, High Speed Internet, Wi-Fi, Washer/Dryer, A/C, Heating, Ceiling Fans, Smoke Free, Wired for Cable, Double Vanities, Bathtub/Shower, Dishwasher, Garbage Disposal, Ice Machine, Kitchen, Microwave, Oven, Stove, Refrigerator, Carpeting, Vinyl Flooring, Vaulted Ceiling, Room with Views, Walk-In Closets, Energy-Efficient Windows, Balcony","75 E Armory Ave, Champaign, IL 61820",40.10503,-88.23894
,,,,,,,
Next Chapter -305 Daniel_4b3b,4,3,850,"60 in Tv included, Access Controlled, Balcony, Covered Parking, Elevator, Fully furnished, Giga-bit Internet, Wet Bar, Controlled Access, Furnished Apartments, High Speed Internet, Wi-Fi, Washer/Dryer, A/C, Heating, Ceiling Fans, Smoke Free, Wired for Cable, Double Vanities, Bathtub/Shower, Wheelchair Accessible, Dishwasher, Garbage Disposal, Ice Machine, Kitchen, Microwave, Oven, Stove, Refrigerator, Freezer, Carpeting, Vinyl Flooring, Family Room, Walk-In Closets, Furnished, Energy-Efficient Windows, Window Coverings, Wet Bar, Balcony, Patio","305 E Daniel St, Champaign, IL 61820",40.10769,-88.23468
,,,,,,,
Next Chapter -217 South_2b2b,2,2,1980,"10' Ceilings & 8' Doors Throughout, Access Controlled Entry, Bike Racks, Covered Parking, Covered Parking Available, Hardwood-style Floors, Modern Hardware & Large Windows Througho, Outdoor Entertaining Space, Private Balconies On Every Unit, Quartz Countertops, Smooth Cooktop Range, Tile Kitchen Backsplash, Under Mount Kitchen Sink & Disposal, Wet Bars in Select Units, Elevator, Outdoor Patio, Outdoor Patio Area, Controlled Access, Washer/Dryer, A/C, Heating, Ceiling Fans, Smoke Free, Wired for Cable, Bathtub/Shower, Sprinkler System, Decorative Mirrors, Wheelchair Accessible, Dishwasher, Garbage Disposal, Ice Machine, Granite Counters, Stainless Steel Appliances, Kitchen, Microwave, Oven, Stove, Refrigerator, Wood Flooring, Room with Views, Walk-In Closets, Energy-Efficient Windows, Balcony, Patio","217 S Neil St, Champaign, IL 61820",40.11455,-88.24384
,,,,,,,
Gentry Square Apartments_2b2.5b,2,2.5,1385,"24-hour Fitness Center, Beautiful Clubhouse with Free WiFi & Kitchen, Avai, Cable & Satellite TV Options, Cable and Satellite TV Options, Carport with Every Apartment Home, Certified Maintenance Professionals, Conveniently Situated in Southwest Champaign, Energy Efficient Doors & Pella Windows, Garbage Disposal & Icemaker Included, Generous Cabinet & Countertop Space, Granite Countertops, Jogging & Bike Trails, Lake Views Available, Leash-Free Dog Run, Lighted Tennis Court, Monthly Pest Control, On 10 Gold Public Bus Route to U of I Campus, Outside Storage Closet, Pets Allowed, Pets Allowed ( Contact Us for Details), Picnic Areas with Grills, Private Entrance, Private Patio or Balcony, Responsive, On-site Management, Site Sits on Eleven Beautifully Landscaped Acres, Site Sits on Eleven Beautifully Landscaped, Tree-L, Sparkling Swimming Pool with Sun Deck, Stainless Fridge, Range, DW, & Microwave, Stainless Steel Appliances Including Fridge, Stove, Tranquil Lake with Fountain, Valet Recycling, Vaulted Ceilings Available, Walk-in Closets, Washer/Dryer Set Included, Wood-burning Fireplaces in Townhomes, Pool/Clubhouse Wi-Fi, On-Site Property Manager, Recycling Program, Pet Park, Car Care Center, Flex Space, Café, BBQ Grill, Picnic Area, Waterfront, Pond, Multi-Use Trails, High Speed Internet, Washer/Dryer, A/C, Heating, Wired for Cable, Satellite TV, Storage Units, Fireplace, Dishwasher, Garbage Disposal, Ice Machine, Granite Counters, Stainless Steel Appliances, Kitchen, Microwave, Oven, Stove, Refrigerator, Carpeting, Vaulted Ceiling, Room with Views, Walk-In Closets, Balcony, Patio, Deck, Outdoor Grill","1712 Gentry Square Ln, Champaign, IL 61821",40.09165,-88.27564
,,,,,,,
Regency West_3b1b,3,1,700,"Washer/Dryer Rentals Available, Washer/Dryer Hookup, A/C, Alarm System, Bathtub/Shower, Kitchen, Oven, Stove, Refrigerator, Freezer, Carpeting, Vinyl Flooring, Furnished, Yard, Lawn","3 Hanover Ct, Champaign, IL 61821",40.14646,-88.27104
,,,,,,,
The Courtyard on Randolph_3b1b,3,1,699,"Ceiling Fans in select units, Self-Service Laundry, Recycling Program, Courtyard, Swimming Pool, Bicycle Storage, High Speed Internet, Wi-Fi, A/C, Heating, Ceiling Fans, Wired for Cable, Bathtub/Shower, Dishwasher, Garbage Disposal, Pantry, Kitchen, Oven, Refrigerator, Carpeting, Vinyl Flooring, Dining Area, Linen Closet, Energy-Efficient Windows, Window Coverings, Balcony, Patio","713-717 S Randolph St, Champaign, IL 61820",40.10772,-88.24533
,,,,,,,
Parkland Point_4b4b,4,4,675,"Community Wi-Fi Available, Pool/Clubhouse Wi-Fi, Controlled Access, On-Site Maintenance, On-Site Property Manager, Available 24/7, Furnished Apartments, Recycling Program, Business Center, Clubhouse, Lounge, Café, Gated, BBQ Grill, Picnic Area, Swimming Pool, Theater/Media Center, High Speed Internet, Wi-Fi, Washer/Dryer, A/C, Heating, Ceiling Fans, Smoke Free, Wired for Cable, Bathtub/Shower, Wheelchair Accessible, Dishwasher, Garbage Disposal, Ice Machine, Granite Counters, Pantry, Kitchen, Microwave, Oven, Refrigerator, Carpeting, Vinyl Flooring, Furnished, Balcony, Patio","2002 W Bradley Ave, Champaign, IL 61821",40.12831,-88.28137
,,,,,,,
Gramercy Park Apartments_2b1b,2,1,670,"Bark Park, BBQ Grill, Sundeck, Swimming Pool, Tanning Bed, Self-Service Laundry, On-Site Maintenance, Pet Care Center, Business Center, Clubhouse, Lounge, Fitness Center, Playground, Tennis Court, High Speed Internet, A/C, Heating, Ceiling Fans, Wired for Cable, Bathtub/Shower, Dishwasher, Kitchen, Stove, Wood Flooring, Carpeting, Ceramic Tile Flooring, Vinyl Flooring, Dining Area, Skylight, Walk-In Closets, Window Coverings","2106 W White St, Champaign, IL 61821",40.11435,-88.28538
,,,,,,,
Colony West_3b1.5b,3,1.5,1150,"Excellent Location, On Bus Line, swimming pool and tennis courts, tennis courts, Vaulted Ceilings Available in some, walking paths, Walking/Jogging Path throughout park area, Pool/Clubhouse Wi-Fi, On-Site Maintenance, Available 24/7, Curbside Trash Pickup, Front Door Trash Pickup, Clubhouse, Extra Storage, Sundeck, BBQ Grill, Waterfront, Pond, Swimming Pool, Playground, Bicycle Storage, Basketball Court, Tennis Court, Multi-Use Trails, High Speed Internet, Wi-Fi, Washer/Dryer, Washer/Dryer Hookup, A/C, Heating, Ceiling Fans, Wired for Cable, Satellite TV, Trash Compactor, Storage Units, Bathtub/Shower, Fireplace, Dishwasher, Garbage Disposal, Ice Machine, Granite Counters, Pantry, Dine-In Kitchen, Kitchen, Microwave, Oven, Stove, Refrigerator, Freezer, Carpeting, Ceramic Tile Flooring, Vinyl Flooring, Dining Area, Den, Vaulted Ceiling, Room with Views, Walk-In Closets, Linen Closet, Loft-Style Apartment, Energy-Efficient Windows, Window Coverings, Balcony, Patio, Porch, Deck, Yard, Lawn, Outdoor Grill","31 Colony West Dr, Champaign, IL 61820",40.08645,-88.25612
,,,,,,,
Colony Court_3b1b,3,1,850,"Great Location, Close to Everything, Most units have Washer/Dryer provided., Newly Remodeled, On Bus Line, On-Site Maintenance, Available 24/7, High Speed Internet, Wi-Fi, Washer/Dryer, A/C, Heating, Ceiling Fans, Wired for Cable, Bathtub/Shower, Dishwasher, Garbage Disposal, Dine-In Kitchen, Kitchen, Oven, Stove, Refrigerator, Freezer, Carpeting, Vinyl Flooring, Linen Closet, Window Coverings, Patio, Deck, Outdoor Grill","502 S Mattis Ave, Champaign, IL 61821",40.1117,-88.2757
,,,,,,,
Flats on White_4b2b,4,2,425,"Self-Service Laundry, Fireplace, Dishwasher, Balcony, Patio","202 E White St, Champaign, IL 61820",40.11468,-88.23641
,,,,,,,
905 Lofts_2b1b,2,1,525,"Self-Service Laundry, Furnished Apartments, Curbside Trash Pickup, Bicycle Storage, High Speed Internet, Washer/Dryer, A/C, Smoke Free, Wired for Cable, Bathtub/Shower, Dishwasher, Garbage Disposal, Stainless Steel Appliances, Dine-In Kitchen, Kitchen, Microwave, Oven, Stove, Refrigerator, Carpeting, Ceramic Tile Flooring, Vinyl Flooring, Vaulted Ceiling, Furnished, Window Coverings, Balcony, Patio, Porch, Deck","905 S Locust St, Champaign, IL 61820",40.10729,-88.24056
,,,,,,,
Victoria Point_3b2b,3,2,1055,"Free High Speed Internet, Limited Access Building, Very Large 2 Bedrooms, Washer / Dryer in each Apartment, Fitness Plans, High Speed Internet, Washer/Dryer, A/C, Ceiling Fans, Smoke Free, Wheelchair Accessible, Dishwasher, Stainless Steel Appliances, Dine-In Kitchen, Microwave, Refrigerator, Vinyl Flooring, Vaulted Ceiling","2302 W John St, Champaign, IL 61821",40.10968,-88.28502
,,,,,,,
Smith Apartments @ 1004 South Locust_2b1b,2,1,465,"Handicap accessible, New washer/dryer in unit, Self-Service Laundry, Controlled Access, Video Patrol, Available 24/7, Furnished Apartments, Recycling Program, Courtyard, High Speed Internet, Washer/Dryer, A/C, Heating, Smoke Free, Wired for Cable, Bathtub/Shower, Intercom System, Wheelchair Accessible, Dishwasher, Garbage Disposal, Kitchen, Microwave, Oven, Stove, Refrigerator, Freezer, Carpeting, Furnished, Accent Walls, Balcony, Patio","1004 S Locust St, Champaign, IL 61820",40.10603,-88.23993
,,,,,,,
