name,cond_bed,cond_bath,cond_rent,cond_amen,addr_pin,addr_longi,addr_lati,apt_rating,apt_contact,apt_image
,,,,,,,,,,
Hunters Pond Apartment Homes_2b2b,2,2,915,"All Two Bedrooms Have Two Baths, Blinds included, Cable tv available, Central Air Conditioning, Dish Network Also Available, Dishwasher, Enclosed Private Storage Off The Balcony Or Patio, Expertly-Landscaped Grounds, Full-Size Washer and Dryer in Every Apartment, Garbage Disposal, Gas Range, Oversized living rm w/additional windows, Refrigerator, Second bath with shower, Third-floor cathedral ceiling, Third-Floor Cathedral Ceilng, Walk-in Closets with Wardrobe Organizers, Pool/Clubhouse Wi-Fi, On-Site Maintenance, Available 24/7, Recycling Program, Sundeck, Fitness Center, Cardio Machines, Weightlifting Equipment, High Speed Internet, Washer/Dryer, A/C, Wired for Cable, Satellite TV, Storage Units, Bathtub/Shower, Wheelchair Accessible, Dishwasher, Garbage Disposal, Dine-In Kitchen, Kitchen, Microwave, Stove, Refrigerator, Carpeting, Vinyl Flooring, Dining Area, Vaulted Ceiling, Walk-In Closets, Window Coverings, Balcony, Patio","2717 Hunters Pond Run, Champaign, IL 61820",40.14828,-88.24468,4,(877) 653-5870,https://image2.apartmentfinder.com/i2/1u_-q14NpLskXjWi1cG0Rj5v4DDSqi6qxAvcVHyPic0/118/hunters-pond-apartment-homes-champaign-il-building.jpg
,,,,,,,,,,
Ginger Creek_2b2b,2,2,1125,"Self-Service Laundry, Recycling Program, Washer/Dryer, Washer/Dryer Hookup, A/C, Heating, Smoke Free, Fireplace, Dishwasher, Garbage Disposal, Oven, Stove, Refrigerator, Skylight, Walk-In Closets, Accent Walls, Balcony","401-410 Ginger Bend Dr, Champaign, IL 61822",40.11249,-88.29169,4,(844) 308-6230,https://image2.apartmentfinder.com/i2/Sd9ziqQM_i7XSRwNCftA4dq91MgPmY4Ky-X96oBF8Ok/118/ginger-creek-champaign-il-primary-photo.jpg
,,,,,,,,,,
Stonegate Village_2b1.5b,2,1.5,890,"Some furnished units available, Self-Service Laundry, Security System, Recycling Program, Gated, Swimming Pool, High Speed Internet, A/C, Heating, Ceiling Fans, Fireplace, Dishwasher, Garbage Disposal, Microwave, Stove, Balcony, Patio","2403-2503 W Springfield Ave, Champaign, IL 61821",40.11261,-88.28774,5,(844) 308-8354,https://image3.apartmentfinder.com/i2/kF47QreD0L9913L6gbB5RAaI1BxaVk0tACXY_JQIwlU/118/stonegate-village-champaign-il-pool.jpg
,,,,,,,,,,
Stadium View Apartments_5b2b,5,2,425,"Self-Service Laundry, A/C, Heating, Wheelchair Accessible, Dishwasher, Kitchen, Microwave, Balcony","1009 S First St, Champaign, IL 61820",40.10575,-88.23907,4,(217) 305-4427,https://image2.apartmentfinder.com/i2/kkpUtjbEAeCOzavPgrgdswLjFHpqWx3ViB_g-8s3-5E/118/stadium-view-apartments-champaign-il-primary-photo.jpg
,,,,,,,,,,
Tuscany Ridge Townhome_3b3b,3,3,995,"24 Hour Emergency Maintenance, Finished Basement, Freeway Access (Near I-74), hardwood floors, Near Kraft Foods & The Virginia Theatre, Near Market Place Mall Shopping Center, Near Pond, Near University Of Illinois At Urbana-Champaign, Near Walking Trail, On Bus Line, Steps From Parkland College, On-Site Maintenance, On-Site Property Manager, Playground, High Speed Internet, Washer/Dryer, Washer/Dryer Hookup, A/C, Heating, Smoke Free, Wired for Cable, Bathtub/Shower, Dishwasher, Garbage Disposal, Pantry, Kitchen, Microwave, Oven, Stove, Refrigerator, Wood Flooring, Carpeting, Family Room, Basement, Room with Views, Linen Closet, Window Coverings, Balcony","918-1188 Pomona Dr, Champaign, IL 61822",40.12538,-88.29394,2,(217) 305-7684,https://image1.apartmentfinder.com/i2/fhahYK4ER3ELXX1i1caYPeeSPbZVVUnKD-7UBjG2M_A/118/tuscany-ridge-townhome-champaign-il-2-bedroom---kitchen.jpg
,,,,,,,,,,
Castle on Locust- INDIVIDUAL LEASES AVAILABLE_4b2b,4,2,499,"High Speed Internet, Washer/Dryer, A/C, Heating, Smoke Free, Wired for Cable, Bathtub/Shower, Banisters, Wheelchair Accessible, Dishwasher, Garbage Disposal, Kitchen, Microwave, Oven, Stove, Refrigerator, Carpeting, Balcony","1007 Locust St, Champaign, IL 61820",40.10575,-88.2399,5,(844) 565-2453,https://image2.apartmentfinder.com/i2/RoQg0LNiDcJ3odgZ-8XqgIPW4HX4cHLuCkRLg_dlMNI/118/castle-on-locust--individual-leases-available-champaign-il-primary-photo.jpg
,,,,,,,,,,
Maywood Apartments_4b2b,4,2,725,"24-7 Emergency maintenance, 9 foot ceilings, Bag toss game in courtyard., Premium extended cable TV included, Propane BBQ grilles, Roof top terrace, Window blinds, Community Wi-Fi Available, Controlled Access, On-Site Maintenance, On-Site Property Manager, Furnished Apartments, Housekeeping, Elevator, Lounge, Café, Courtyard, Fitness Center, Cardio Machines, Free Weight Equipment, Washer/Dryer, A/C, Heating, Ceiling Fans, Smoke Free, Wired for Cable, Alarm System, Dishwasher, Garbage Disposal, Ice Machine, Granite Counters, Stainless Steel Appliances, Kitchen with Island, Dine-In Kitchen, Kitchen, Microwave, Oven, Stove, Refrigerator, Freezer, Wood Flooring, Vinyl Flooring, Window Coverings, Balcony, BBQ Area","51 E John St, Champaign, IL 61820",40.10863,-88.23987,4,(844) 298-4230,https://image2.apartmentfinder.com/i2/5qprPZNdoVqeb_GoTEtJEz--xI9nqTAtE3WmeNipn4Y/118/maywood-apartments-champaign-il-primary-photo.jpg
,,,,,,,,,,
West Quad_4b2.5b,4,2.5,Call for Rent,"Heated Pool, Jumbo Tron, Mounted 50"" Flat Screen TVs, Community Wi-Fi Available, Pool/Clubhouse Wi-Fi, Controlled Access, On-Site Maintenance, On-Site Property Manager, Security System, Spanish-Speaking, Courtesy Patrol, Video Patrol, Available 24/7, Furnished Apartments, ATM Banking, On-Site Shopping, Curbside Trash Pickup, Recycling Program, Renters Insurance Program, Online Services, Social Events, Secured Parking Area, Elevator, Business Center, Lounge, Flex Space, Trash Chutes, Café, Meeting Center, Tanning Salon, Yard with Fence, Cabana, Courtyard, BBQ Grill, Picnic Area, Fitness Center, Cardio Machines, Weightlifting Equipment, Sauna, Swimming Pool, Bicycle Storage, Volleyball Court, Activity Center, Gaming Areas, Theater/Media Center, High Speed Internet, Wi-Fi, Washer/Dryer, A/C, Heating, Smoke Free, Wired for Cable, Satellite TV, Trash Compactor, Bathtub/Shower, Sprinkler System, Wheelchair Accessible, Dishwasher, Garbage Disposal, Ice Machine, Granite Counters, Stainless Steel Appliances, Pantry, Kitchen with Island, Dine-In Kitchen, Kitchen, Microwave, Oven, Stove, Refrigerator, Freezer, Hot Water Dispenser, Wood Flooring, Carpeting, Vinyl Flooring, Family Room, Room with Views, Linen Closet, Furnished, Energy-Efficient Windows, Window Coverings, Accent Walls, Wet Bar, Balcony, Patio, Porch, Yard, Lawn, BBQ Area, Outdoor Grill","29 E Green St, Champaign, IL 61820",40.10924,-88.24138,5,(844) 305-4088,https://image4.apartmentfinder.com/i2/JXDPiRxU9RZ1OJaSihSZbTQ4tkqzcgDhwctnvHutlwk/118/west-quad-champaign-il-primary-photo.jpg
,,,,,,,,,,
Midtown Lofts_4b3b,4,3,599,"Grand Balconies, Furnished Apartments, Elevator, Cabana, Spa, High Speed Internet, Washer/Dryer, Washer/Dryer Hookup, A/C, Heating, Smoke Free, Bathtub/Shower, Wheelchair Accessible, Dishwasher, Dine-In Kitchen, Kitchen, Microwave, Oven, Refrigerator, Freezer, Carpeting, Balcony","512 S Third St, Champaign, IL 61820",40.11221,-88.23508,5,(217) 305-7021,https://image3.apartmentfinder.com/i2/RaEBi5s4imKrEa8jGGWtTACPkF4NYSvPNO6PGib-xEg/118/midtown-lofts-champaign-il-primary-photo.jpg
,,,,,,,,,,
Midtown Plaza - BRAND NEW_2b2b,2,2,1950,"9-10 Foot Ceilings, Quartz Countertops, Controlled Access, Video Patrol, On-Site Shopping, Elevator, Trash Chutes, Rooftop Access, High Speed Internet, Washer/Dryer, A/C, Heating, Smoke Free, Wired for Cable, Bathtub/Shower, Sprinkler System, Wheelchair Accessible, Dishwasher, Garbage Disposal, Stainless Steel Appliances, Kitchen with Island, Dine-In Kitchen, Kitchen, Microwave, Oven, Stove, Refrigerator, Freezer, Wood Flooring, Carpeting, Family Room, Room with Views, Furnished, Energy-Efficient Windows, Balcony, BBQ Area","310 S 1st St, Champaign, IL 61820",40.11415,-88.23866,5,(217) 305-7669,https://image4.apartmentfinder.com/i2/-QDOcVPK6iqGc6WolkhelrXXQKSWfCoD4rLjumoj44M/118/midtown-plaza---brand-new-champaign-il-primary-photo.jpg
,,,,,,,,,,
South West Apartments - ONE MONTH FREE RENT_2b1b,2,1,650,"Wood Deck, Self-Service Laundry, Available 24/7, Complimentary Breakfast, High Speed Internet, Washer/Dryer Hookup, A/C, Smoke Free, Fireplace, Dishwasher, Oven, Stove, Refrigerator, Balcony, Patio","1902 Karen Ct, Champaign, IL 61822",40.08343,-88.27926,4,(217) 318-0978,https://image3.apartmentfinder.com/i2/icP9nlafaxMB6C5EQV3iAD8z3PfTCgyIxGmzswtrIm8/118/south-west-apartments---one-month-free-rent-champaign-il-primary-photo.jpg
,,,,,,,,,,
Windcrest Apartments_2b1b,2,1,525,"24 hour emergency maintenance, Rental requirements: 3x -monthly rent, Self-Service Laundry, On-Site Maintenance, On-Site Property Manager, Recycling Program, A/C, Heating, Wired for Cable, Bathtub/Shower, Kitchen with Island, Kitchen, Oven, Stove, Refrigerator, Freezer, Carpeting, Bay Window, Walk-In Closets, Loft-Style Apartment, Window Coverings, Balcony, Deck, BBQ Area","404 Edgebrook Dr, Champaign, IL 61820",40.13199,-88.24905,3,(844) 241-6752,https://image1.apartmentfinder.com/i2/Qe-eyo7ZVg7QzCSWt_TgZHvpWnz-WAGshliAnN5dD9w/118/windcrest-apartments-champaign-il-primary-photo.jpg
,,,,,,,,,,
212 East_4b2b,4,2,850,"50” TVs in every unit, Epic Outdoor Courtyard, Full-size, in-unit washers + dryers, Fully Furnished units, Gigabit internet, Open community relaxation lounge, Shared and private study rooms/lounges, State of the art workout facility, Business Center, Clubhouse, Lounge, Courtyard, Picnic Area, Fitness Center, Washer/Dryer, A/C, Dishwasher, Garbage Disposal, Stainless Steel Appliances, Microwave, Oven, Stove, Wood Flooring","512 E Green St, Champaign, IL 61820",40.11056,-88.23563,5,(217) 689-4928,https://image4.apartmentfinder.com/i2/ODFUMjjkEfVf9W2m_jEu01tudWxMB7DUISU75jsmYYc/118/212-east-champaign-il-primary-photo.jpg
,,,,,,,,,,
Fields South_2b1b,2,1,1500,"Brand New In August 2018, Brand New In August 2018!, Fitness Center, Swimming Pool, Volleyball Court, High Speed Internet, Wi-Fi, Washer/Dryer, A/C, Heating, Ceiling Fans, Smoke Free, Wired for Cable, Bathtub/Shower, Dishwasher, Garbage Disposal, Ice Machine, Granite Counters, Stainless Steel Appliances, Kitchen with Island, Dine-In Kitchen, Kitchen, Microwave, Oven, Stove, Refrigerator, Freezer, Wood Flooring, Carpeting, Walk-In Closets, Balcony","3301 Fields South Dr, Champaign, IL 61822",40.07203,-88.30995,5,(217) 305-4527,https://image3.apartmentfinder.com/i2/t3Y3Hbt-FJRTvmbeMolkTciUpVbiPUhma6Cen0tP8v8/118/fields-south-champaign-il-primary-photo.jpg
,,,,,,,,,,
WatersEdge Apartments_3b2b,3,2,1140,"Clubroom w/Kitchen, Fireplace & Entertainment Center, Dishwasher, Disposal & W/D, Free Wi-Fi Access, Large Windows & Private Entryways, Washer/Dryer Rentals Available, Package Service, Self-Service Laundry, On-Site Property Manager, Available 24/7, Furnished Apartments, Recycling Program, Laundry Service, Social Events, Business Center, Clubhouse, Complimentary Breakfast, Extra Storage, Sundeck, BBQ Grill, Picnic Area, Waterfront, Access to Lake, Fitness Center, Sauna, Swimming Pool, Theater/Media Center, High Speed Internet, Wi-Fi, Washer/Dryer, Washer/Dryer Hookup, A/C, Heating, Smoke Free, Wired for Cable, Satellite TV, Storage Units, Bathtub/Shower, Fireplace, Wheelchair Accessible, Dishwasher, Garbage Disposal, Ice Machine, Kitchen, Oven, Stove, Refrigerator, Ceramic Tile Flooring, Decorative Crown Molding, Vaulted Ceiling, Room with Views, Walk-In Closets, Balcony, Patio","936 Waterview Way, Champaign, IL 61822",40.1507,-88.25898,5,(217) 305-7769,https://image3.apartmentfinder.com/i2/bRqY_reOO1wKkt9W7NalGvn5hu8_hR-qlbHoeyRTiws/118/watersedge-apartments-champaign-il-primary-photo.jpg
,,,,,,,,,,
Furnished Studio – Champaign - Urbana_1b1b,1,1,1049,"Breakfast/Coffee Concierge, Clean, modern lighting, Dining and cooking utensils provided, Updated bathrooms, Upgraded bedding with extra pillows, Community Wi-Fi Available, Self-Service Laundry, Furnished Apartments, A/C, Kitchen","610 W Marketview Dr, Champaign, IL 61820",40.13797,-88.25353,3,(217) 318-0942,https://image2.apartmentfinder.com/i2/6pbvt3_z9iJjNylIyB2Psy4KFxQPd_6tCHlyLtouxbA/118/furnished-studio-champaign---urbana-champaign-il-primary-photo.jpg
,,,,,,,,,,
Colonial Village_3b1.5b,3,1.5,905,"Front Door Trash Pickup, Recycling Program, High Speed Internet, Washer/Dryer, Washer/Dryer Hookup, A/C, Heating, Ceiling Fans, Smoke Free, Kitchen, Oven, Stove, Refrigerator, Wood Flooring, Walk-In Closets, Patio, Deck","1003-1011 S Mattis Ave, Champaign, IL 61821",40.1053,-88.2771,4,(217) 318-0987,https://image2.apartmentfinder.com/i2/JbV3E6_FQ7g-fMulS0BgkN5knonXCZMvufsh8I6N7Eo/118/colonial-village-champaign-il-primary-photo.jpg
,,,,,,,,,,
Westwood Village_1b1b,1,1,685,"Washer/Dryer, A/C, Heating, Fireplace, Kitchen, Oven, Stove","3119-3303 W Kirby Ave, Champaign, IL 61822",40.09826,-88.29782,4,(217) 305-7110,https://image4.apartmentfinder.com/i2/gEWK92uOVIbvk3N9JmktsE0cVY_SJpvX-ILqthzWItI/118/westwood-village-champaign-il-primary-photo.jpg
,,,,,,,,,,
Continental Plaza_3b1.5b,3,1.5,735,"Self-Service Laundry, Recycling Program, High Speed Internet, A/C, Heating, Ceiling Fans, Smoke Free, Garbage Disposal, Kitchen, Oven, Stove, Refrigerator, Walk-In Closets, Balcony, Patio","801-911 S Mattis Ave, Champaign, IL 61821",40.10732,-88.27739,4,(217) 305-7097,https://image2.apartmentfinder.com/i2/KiCpeGcuLjbmwBf1tY4_UzYvJQAIBUwQs3zkV4X_RVc/118/continental-plaza-champaign-il-continental-plaza-apartments.jpg
,,,,,,,,,,
Prestwick Point_2b2b,2,2,925,"On Bus Route, Controlled Access, Washer/Dryer, Washer/Dryer Hookup, A/C, Heating, Dishwasher, Garbage Disposal, Kitchen, Microwave, Oven, Stove, Refrigerator, Balcony, Patio, Lawn","706 Inverness Rd, Champaign, IL 61822",40.10699,-88.31255,5,(217) 305-7664,https://image2.apartmentfinder.com/i2/_3tlC9olqU2lk5ba34qrBRAbQ6ZMAPbC4BbcLCI8qaE/118/prestwick-point-champaign-il-builidng.jpg
,,,,,,,,,,
205 E Healey St_1b1b,1,1,630,"Self-Service Laundry, Controlled Access, Furnished Apartments, A/C, Wired for Cable, Oven, Stove, Refrigerator, Carpeting, Vinyl Flooring, Furnished","205 E Healey St, Champaign, IL 61820",40.11113,-88.23631,4,(855) 850-4079,https://image3.apartmentfinder.com/i2/OTewAVH7T8N_NLAv6dUe4_DWtlzPZ6AfzToVFA09VBo/118/205-e-healey-st-champaign-il-primary-photo.jpg
,,,,,,,,,,
706 S Locust St_2b1b,2,1,740,"Self-Service Laundry, Washer/Dryer, Garbage Disposal, Stove, Refrigerator, Wood Flooring","706 S Locust St, Champaign, IL 61820",40.10961,-88.23983,4,(844) 898-7871,https://image3.apartmentfinder.com/i2/YUbeFBl8KKSxg38DKdDMhl4RlxCR8miLFTSHkmnn1Nk/118/706-s-locust-st-champaign-il-primary-photo.jpg
,,,,,,,,,,
Crowwood Point Apartments_2b2b,2,2,895,"Vaulted Ceiling, Walk-in Closet, Curbside Trash Pickup, Extra Storage, High Speed Internet, Washer/Dryer, Washer/Dryer Hookup, A/C, Heating, Smoke Free, Wired for Cable, Storage Units, Fireplace, Wheelchair Accessible, Dishwasher, Garbage Disposal, Ice Machine, Kitchen, Microwave, Oven, Refrigerator, Freezer, Wood Flooring, Carpeting, Ceramic Tile Flooring, Walk-In Closets, Linen Closet, Balcony","3901 Crowwood Dr, Champaign, IL 61822",40.10788,-88.31065,5,(217) 305-7834,https://image2.apartmentfinder.com/i2/fIxj-oEnvxa1kjeOAAiyZq6xzsmWGxilvwCJRf0DYW0/118/crowwood-point-apartments-champaign-il-primary-photo.jpg
,,,,,,,,,,
Next Chapter -507 Second_4b4b,4,4,735,"10' x 18' Terrace on every unit, 42"" Television in every unit, 9' Ceilings, All maple cabinets, Available Private Baths, Double vanities in select units, Full size beds, Metered parking in from for your guests, Property faces Scott Park, Smooth cooktop, Two blocks from grocery store, Access Control, Access Controlled, Access Controlled Entry, Elevator, Fitness Center, Garage Parking, Giga-bit Internet, Utilities Included, Controlled Access, Furnished Apartments, Elevator, Fitness Center, High Speed Internet, Wi-Fi, Washer/Dryer, A/C, Heating, Ceiling Fans, Smoke Free, Wired for Cable, Double Vanities, Dishwasher, Garbage Disposal, Ice Machine, Pantry, Kitchen, Microwave, Oven, Stove, Refrigerator, Freezer, Carpeting, Vinyl Flooring, Family Room, Room with Views, Energy-Efficient Windows","507 S 2nd St, Champaign, IL 61820",40.11181,-88.2374,5,(844) 528-5726,https://image1.apartmentfinder.com/i2/ySde0E_kwITf0W0-GXBnYCxp_-Es8KqDShIydqonG4g/118/next-chapter--507-second-champaign-il-507-second---terraces-on-second.jpg
,,,,,,,,,,
Next Chapter -75 Armory_4b2b,4,2,720,"42"" TV In All Units, Bike Racks, Double Vanity In Select Units, Efficient Appliances, Full Size Beds, Public Transportation, Walking Distance To Main Quad, Washer/Dryer In Unit, Access Controlled Entry, Cable/Internet Included, Garage Parking, Utilities Included, Controlled Access, Furnished Apartments, Recycling Program, Courtyard, BBQ Grill, Picnic Area, High Speed Internet, Wi-Fi, Washer/Dryer, A/C, Heating, Ceiling Fans, Smoke Free, Wired for Cable, Double Vanities, Bathtub/Shower, Dishwasher, Garbage Disposal, Ice Machine, Kitchen, Microwave, Oven, Stove, Refrigerator, Carpeting, Vinyl Flooring, Vaulted Ceiling, Room with Views, Walk-In Closets, Energy-Efficient Windows, Balcony","75 E Armory Ave, Champaign, IL 61820",40.10503,-88.23894,4,(217) 305-7830,https://image2.apartmentfinder.com/i2/TC6QQuZ7A3zIeMbaHQbjLAiNF3QoVznoIPVGWVnt4r0/118/next-chapter--75-armory-champaign-il-primary-photo.jpg
,,,,,,,,,,
Next Chapter -305 Daniel_4b3b,4,3,850,"60 in Tv included, Access Controlled, Balcony, Covered Parking, Elevator, Fully furnished, Giga-bit Internet, Wet Bar, Controlled Access, Furnished Apartments, High Speed Internet, Wi-Fi, Washer/Dryer, A/C, Heating, Ceiling Fans, Smoke Free, Wired for Cable, Double Vanities, Bathtub/Shower, Wheelchair Accessible, Dishwasher, Garbage Disposal, Ice Machine, Kitchen, Microwave, Oven, Stove, Refrigerator, Freezer, Carpeting, Vinyl Flooring, Family Room, Walk-In Closets, Furnished, Energy-Efficient Windows, Window Coverings, Wet Bar, Balcony, Patio","305 E Daniel St, Champaign, IL 61820",40.10769,-88.23468,4,(844) 626-4630,https://image2.apartmentfinder.com/i2/cOAdNvqtGkz4cEnfLxrXau1H2m0x1wqKUkvBdCIiPiE/118/next-chapter--305-daniel-champaign-il-building.jpg
,,,,,,,,,,
Next Chapter -217 South_2b2b,2,2,1980,"10' Ceilings & 8' Doors Throughout, Access Controlled Entry, Bike Racks, Covered Parking, Covered Parking Available, Hardwood-style Floors, Modern Hardware & Large Windows Througho, Outdoor Entertaining Space, Private Balconies On Every Unit, Quartz Countertops, Smooth Cooktop Range, Tile Kitchen Backsplash, Under Mount Kitchen Sink & Disposal, Wet Bars in Select Units, Elevator, Outdoor Patio, Outdoor Patio Area, Controlled Access, Washer/Dryer, A/C, Heating, Ceiling Fans, Smoke Free, Wired for Cable, Bathtub/Shower, Sprinkler System, Decorative Mirrors, Wheelchair Accessible, Dishwasher, Garbage Disposal, Ice Machine, Granite Counters, Stainless Steel Appliances, Kitchen, Microwave, Oven, Stove, Refrigerator, Wood Flooring, Room with Views, Walk-In Closets, Energy-Efficient Windows, Balcony, Patio","217 S Neil St, Champaign, IL 61820",40.11455,-88.24384,5,(877) 930-2993,https://image1.apartmentfinder.com/i2/izrRAPtTjxHftVX7Af0M9QVuYgajd38EOvzQGqDEhmY/118/next-chapter--217-south-champaign-il-217-south-apartments.jpg
,,,,,,,,,,
